data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,#country+code,#event+code,,#date+occurred,,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,
5662883,466,MLI3067,3067,2019-07-25,2019,1,Battles,Armed clash,Fulani Ethnic Militia (Mali),Pastoralists (Mali),4,Military Forces of Mali (2013-),,1,14,Western Africa,Mali,Mopti,Koro,Diankabou,Siguimara,14.5227,-3.0789,2,Balanzan Info,Other,"On July 25, suspected Fulani militiamen ambushed a Malian army unit between Siguimara an d Soye (coded as Siguimara at geoprecision 2), no casualties reported.",0,1564426183,MLI
5662884,466,MLI3068,3068,2019-07-25,2019,1,Battles,Armed clash,Arab Ethnic Militia (Mali),Tourmouz Clan Militia (Mali),4,Arab Ethnic Militia (Mali),Oulad Aich Clan Militia (Mali),4,44,Western Africa,Mali,Tombouctou,Goundam,Tilemsi,Lerneb,16.3287,-4.9591,2,Mali Jet; Mali Actu; Kibaru; Nord Sud Journal,Other-National,"On July 25, Tourmouz and Oulad Aich tribesmen clashed on the outskirts of Lerneb due to a dispute over share of revenue at a checkpoint, at least five tribesmen were killed and a dozen wounded.",5,1564426183,MLI
5662881,466,MLI3065,3065,2019-07-23,2019,1,Strategic developments,Disrupted weapons use,Military Forces of Mali (2013-),,1,JNIM: Group for Support of Islam and Muslims,Katiba Macina,2,12,Western Africa,Mali,Mopti,Koro,Dinangourou,Dinangorou,14.4510,-2.2442,2,Koro Kibaru; Meguetan Infos,Other-National,"On July 23, the Malian army discovered an IED on the road between Dinangourou and Yoro (coded as Dinangourou at geoprecision 2), the explosive device was likely planted by Katiba Macina (JNIM) militants.",0,1564426183,MLI
5662882,466,MLI3066,3066,2019-07-23,2019,1,Violence against civilians,Attack,Fulani Ethnic Militia (Mali),Pastoralists (Mali),4,Civilians (Mali),Dogon Ethnic Group (Mali); Farmer (Mali),7,47,Western Africa,Mali,Mopti,Douentza,Mondoro,Niangassagou,14.6527,-1.7781,1,Facebook,Other,"On July 23, suspected Fulani militiamen shot dead a Dogon farmer, destroyed crops, and seized camels in Niangassagou.",1,1564426183,MLI
5662878,466,MLI3062,3062,2019-07-22,2019,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,Al Mourabitoune Battalion,2,Military Forces of France,Military Forces of Estonia; Military Forces of Mali (2013-),8,28,Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,Maliweb; Mali Actu; AMAP; Mali Jet; Pinal (Mali); Reelle Afrique; Jeune Afrique; RFI; Xinhua; AFP; Baltic News Service; Le Faso; Whatsapp,National,"On July 22, at least two presumed Al Mourabitoune (JNIM) militants attacked the entrance at the camps of France (Barkhane) and the Malian army in Gao, one attacker was shot dead while the second detonated a suicide car bomb, several people were wounded including French, Estonian, and Malian soldiers, and civilians, material damages were also inflicted.",2,1564426183,MLI
5662879,466,MLI3063,3063,2019-07-22,2019,1,Protests,Peaceful protest,Protesters (Mali),,6,,,0,60,Western Africa,Mali,Gao,Bourem,Bourem,Bourem,16.9550,-0.3486,1,Studio Tamani; Maliweb,National,"On July 22, residents in Bourem staged a protest in support of Mohamed Ould Mataly, a prominent figure in Gao and among the Arab community, sanctioned by the United Nations, accused of impeding the implementation of the peace accord.[size=2,000]",0,1564426183,MLI
5662880,466,MLI3064,3064,2019-07-22,2019,1,Violence against civilians,Attack,Fulani Ethnic Militia (Mali),,4,Civilians (Mali),Dogon Ethnic Group (Mali),7,47,Western Africa,Mali,Mopti,Douentza,Mondoro,Douna,15.1100,-1.7350,1,Facebook,Other,"On July 22, suspected Fulani militiamen attacked the village of Douna, no casualties reported.",0,1564426183,MLI
5662877,466,MLI3061,3061,2019-07-21,2019,1,Riots,Mob violence,Rioters (Mali),Vigilante Group (Mali),5,Police Forces of Mali (2013-),,1,15,Western Africa,Mali,Bamako,Bamako,Commune III,Bamako,12.6500,-8.0000,1,Mali Actu; Pinal (Mali); Koutiala Observateur Infos,Other-National,"On July 21, A mob lynched a policeman to death who intervened by firing warning shots amidst a robbery in the Sotuba area of Bamako, the policeman was mistaken for one of three robbers on a motorbike. [size=no report]",1,1564426183,MLI
5613518,466,MLI3059,3059,2019-07-20,2019,1,Violence against civilians,Attack,Fulani Ethnic Militia (Mali),Pastoralists (Mali),4,Civilians (Mali),Dogon Ethnic Group (Mali); Farmers (Mali),7,47,Western Africa,Mali,Mopti,Koro,Diankabou,Kinde,14.5302,-3.0529,2,Le Pays Dogon,Subnational,"On July 20, suspected Fulani militiamen shot dead three Dogon farmers near the village of Kinde.",3,1563826792,MLI
5613514,466,MLI3055,3055,2019-07-19,2019,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,Katiba Macina,2,Civilians (Mali),,7,27,Western Africa,Mali,Mopti,Mopti,Dialloube,Dialloube,15.0191,-4.2324,1,RFI,International,"On July 19, presumed Katiba Macina (JNIM) militants assassinated a prominent griot (storyteller) in Dialloube.",1,1563826792,MLI
5613515,466,MLI3056,3056,2019-07-19,2019,1,Violence against civilians,Attack,Dozo Militia,,4,Civilians (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali),7,47,Western Africa,Mali,Mopti,Bankass,Sokoura,Boundouherou,13.4854,-3.7341,2,Kisal,Other,"On July 19, Dozo militiamen opened fire on the Fulani village of Boundouherou, Bankass no casualties reported.",0,1563826792,MLI
5613516,466,MLI3057,3057,2019-07-19,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Mopti,Bandiagara,Pignari Bana,Kassawan-Da,14.3700,-3.9660,1,Le Pays Dogon,Subnational,"On July 19, unknown gunmen attacked the village of Kassawan-Da and stole hundreds of livestock.",0,1563826792,MLI
5613517,466,MLI3058,3058,2019-07-19,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Dogon Ethnic Group (Mali),7,37,Western Africa,Mali,Bamako,Bamako,Commune III,Bamako,12.6500,-8.0000,1,Koro Kibaru; Facebook,Other,"On July 19 , unknown individuals violently assaulted a Dogon civil society activist and his associate in Bamako, both were wounded and taken to hospital for treatment.",0,1563826792,MLI
5613512,466,MLI3053,3053,2019-07-18,2019,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,2,MSA: Movement for Azawad Salvation,,3,23,Western Africa,Mali,Gao,Ansongo,Talataye,I-n-Kisman,15.8581,1.3436,2,Mali Jet; Kibaru; MSA Azawad; Xinhua,Other-National,"On July 18, suspected JNIM and/or ISGS militants reportedly ambushed an MSA patrol in the area of I-n-Kisman, eight assailants were killed. Arms and equipment was seized by the militiamen, one MSA member was wounded and a vehicle damaged.",8,1563826792,MLI
5664910,466,MLI3054,3054,2019-07-18,2019,1,Protests,Peaceful protest,Protesters (Mali),UM-RDA: Malian Union for the African Democratic Rally; Arab Ethnic Group (Mali),6,,,0,60,Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,Studio Tamani,National,"On July 18, residents in Gao staged a protest in support of member of parliament and Arab communal leader Mohamed Ould Mataly recently sanctioned by the UN. [size=large]",0,1564428113,MLI
5613509,466,MLI3050,3050,2019-07-17,2019,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,2,Military Forces of Mali (2013-),Military Forces of France,1,12,Western Africa,Mali,Gao,Ansongo,Ouattagouna,Kamgala,15.3760,0.7561,2,Kibaru; Studio Tamani; Maliweb; Mali Actu; Mali Jet; Bamada; AFP; Burkina24; Journal le Gardien; Opex 360,National,"On July 17, suspected JNIM and/or ISGS militants ambushed a Malian army convoy and a communal transport bus in the area of Kamgala, one soldier was killed and two others wounded in the attack, and nine militants were killed and two arrested in a counter-attack by French and Malian forces.",10,1563826792,MLI
5613510,466,MLI3051,3051,2019-07-17,2019,1,Riots,Violent demonstration,Rioters (Mali),,5,,,0,50,Western Africa,Mali,Kidal,Kidal,Kidal,Kidal,18.4400,1.4100,1,Maliweb; Mali Actu; Mali Jet; Studio Tamani; Kibaru; Nord Sud Journal; RFI; Jeune Afrique; Journal le Gardien,National,"On July 17, youths in Kidal ransacked and vandalized Malian state symbols at the entrance of the governorate during a demonstration in response to a visit by a parliamentary delegation. [size=dozens]",0,1563826792,MLI
5613511,466,MLI3052,3052,2019-07-17,2019,1,Protests,Peaceful protest,Protesters (Mali),Health Workers (Mali),6,,,0,60,Western Africa,Mali,Bamako,Bamako,Commune III,Bamako,12.6500,-8.0000,1,Mali Actu,National,"On July 17, employees at the Gabriel Toure hospital in Bamako staged a sit-in. [size=dozens]",0,1563826792,MLI
5613507,466,MLI3048,3048,2019-07-15,2019,1,Battles,Armed clash,Dire Communal Militia (Mali),Farmers (Mali),4,Dire Communal Militia (Mali),Farmers (Mali),4,44,Western Africa,Mali,Tombouctou,Dire,Dire,Dire,16.2570,-3.4013,2,Mali Actu; Au Mali; Studio Tamani,National,"On July 15, two groups of farmers clashed with blade weapons in Dire due to a dispute over land management, fifteen people were wounded as a result of the confrontations.",0,1563826792,MLI
