data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,#country+code,#event+code,,#date+occurred,,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,
5662915,562,NIR969,969,2019-07-26,2019,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),Labour Group (Niger),7,27,Western Africa,Niger,Diffa,N'Guigmi,N Guigmi,N Guigmi,14.2495,13.1092,1,Jeunesse Diffa,Other,"On July 26, presumed ISWAP/Boko Haram militants abducted two civilians including a merchant and a hairdresser in Nguigmi.",0,1564426183,NER
5662914,562,NIR968,968,2019-07-24,2019,1,Strategic developments,Disrupted weapons use,Police Forces of Niger (2011-),,1,Unidentified Armed Group (Niger),,3,13,Western Africa,Niger,Tillabery,Kollo,Karma,Bangoula,13.5959,1.9942,1,Air Info; Tadress24info; Actu (Niger); Mali Actu,National-International,"On July 24, the police seized more than twenty fire arms during a control in Bangoula.",0,1564426183,NER
5662913,562,NIR967,967,2019-07-23,2019,2,Strategic developments,Other,Protesters (Niger),Labour Group (Niger),6,,,0,60,Western Africa,Niger,Niamey,Ville de Niamey,Lamorde,Niamey,13.5200,2.1200,1,Tadress24info; Studio Kalangou,National,"On July 23, merchants at the market in Niamey closed down shops and began observing a 48-hour strike, demanding that authorities reopen the gates in front of the highway.",0,1564426183,NER
5662912,562,NIR966,966,2019-07-22,2019,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Maine Soroa,Maine Soroa,Tcholori,13.1408,12.3483,1,Urgence Diffa,Other,"On July 22, presumed ISWAP/Boko Haram militants abducted three civilians including a girl and two boys in Tcholori.",0,1564426183,NER
5613543,562,NIR961,961,2019-07-19,2019,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),Women (Niger),7,27,Western Africa,Niger,Diffa,Diffa,Gueskerou,Gueskerou,13.4868,12.8497,1,Jeunesse Diffa; Facebook,Other,On July 19 suspected ISWAP/Boko Haram militants abducted three young women in Gueskerou.,0,1563826792,NER
5613544,562,NIR962,962,2019-07-19,2019,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Bosso,Riari,13.5617,12.9406,1,Jeunesse Diffa,Other,"On July 19, suspected ISWAP/Boko Haram militants abducted nine people in the village of Riari.",0,1563826792,NER
5613545,562,NIR963,963,2019-07-19,2019,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,Civilians (Niger),Women (Niger),7,27,Western Africa,Niger,Diffa,Diffa,Bosso,Bandi,13.5111,12.9456,1,Urgence Diffa,Other,"On July 19, suspected ISWAP/Boko Haram militants abducted a young girl in the village of Bandi.",0,1563826792,NER
5613546,562,NIR964,964,2019-07-19,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,3,Civilians (Niger),,7,37,Western Africa,Niger,Diffa,Diffa,Gueskerou,Kindjandi,13.7379,12.9311,2,Facebook,Other,"On July 19, unknown gunmen shot dead a man and stripped him of a sum of cash in the area of Kindjandi.",1,1563826792,NER
5613540,562,NIR958,958,2019-07-18,2019,1,Protests,Peaceful protest,Protesters (Sudan),Refugees/IDPs (Sudan),6,,,0,60,Western Africa,Niger,Agadez,Tchirozerine,ZR Tchirozerine,Agadez,16.9700,7.9900,1,Air Info; Studio Kalangou; AFP,Subnational-National,"On July 18, Sudanese asylum seekers staged a protest in Agadez, demanding the acceleration of their dossiers.[size=hundred]",0,1563826792,NER
