data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7173324,466,MLI4111,4111,2020-07-31,2020,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Police Forces of Mali (2013-),,1,12,Western Africa,Mali,Sikasso,Koutiala,N'Goutjina,NGoutjina,12.2967,-5.4785,1,Studio Tamani; AMAP,National,"On 31 July 2020, suspected JNIM militants attacked a security checkpoint in NGoutjina (Koutiala, Sikasso), killed one customs driver and wounded five others severely. Security forces reportedly routed the militants.",1,1596481840,MLI
7173322,466,MLI4109,4109,2020-07-29,2020,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),Dogon Ethnic Group (Mali); Farmers (Mali),7,27,Western Africa,Mali,Mopti,Douentza,Petaka,Petaka,15.0200,-2.8490,1,Koro Kibaru; Mali Jet,New media-National,"On 29 July 2020, suspected JNIM militants attacked the Dogon village of Petaka (Douentza, Mopti), and reportedly killed one farmer and wounded others.",1,1596481840,MLI
7173323,466,MLI4110,4110,2020-07-29,2020,2,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,,,0,20,Western Africa,Mali,Mopti,Koro,Dinangourou,Tondo Erkokoni,14.2579,-2.5728,1,Studio Tamani; Koro Kibaru,New media-Subnational,"Around 29 July 2020 (as reported), presumed JNIM militants destroyed a school by setting off explosives in the village of Tonou [Tondo Erkokoni] (Koro, Mopti).",0,1596481840,MLI
7173423,466,MLI4107,4107,2020-07-28,2020,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Gao,Bourem,Bamba,Bamba,17.0350,-1.4016,2,AMAP,National,"On 28 July 2020, an armed group robbed 24 marketgoers on their way to Bamba (Bourem, Gao).",0,1596481840,MLI
7173761,466,MLI4108,4108,2020-07-28,2020,1,Battles,Armed clash,Military Forces of France (2017-),Military Forces of Mali (2013-),8,Islamic State (Greater Sahara),,2,28,Western Africa,Mali,Gao,Ansongo,Talataye,I-n-Deliman,16.1506,1.4277,2,Undisclosed Source,Local partner-Other,"On 28 July 2020, French Operation Barkhane and Malian forces reportedly conducted an operation against ISGS militants near In-Deliman (Ansongo, Gao). Airstrikes and exchanges of gunfire were reported. Eventual casualties unknown.",0,1596481842,MLI
7173702,466,MLI4104,4104,2020-07-27,2020,1,Violence against civilians,Abduction/forced disappearance,Katiba Macina,JNIM: Group for Support of Islam and Muslims,2,Civilians (Mali),Labour Group (Mali),7,27,Western Africa,Mali,Mopti,Mopti,Konna,Kona,14.9462,-3.8931,2,Studio Tamani,Subnational,"On 27 July 2020, presumed Katiba Macina (JNIM) militants abducted a male music artist between Kona (Mopti, Mopti) and Bore (Douentza, Mopti).",0,1596481842,MLI
7173732,466,MLI4103,4103,2020-07-27,2020,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Unidentified Armed Group (Mali),,3,23,Western Africa,Mali,Tombouctou,Tombouctou,Ber,In Boukri,17.0885,-2.4644,2,Twitter,New media,"On 27 July 2020, JNIM militants clashed with unknown gunmen in the area of Hassi Bakari [In Boukri], northeast of Ber (Ber, Tombouctou). One JNIM militant was wounded.",0,1596481842,MLI
7173319,466,MLI4102,4102,2020-07-27,2020,1,Riots,Mob violence,Rioters (Mali),Vigilante Group (Mali),5,Unidentified Armed Group (Mali),,3,35,Western Africa,Mali,Bamako,Bamako,Commune III,Bamako,12.6500,-8.0000,1,Mali Actu; Maliweb,National,"On 27 July 2020, residents in the Baco-Djicoroni area of the capital Bamako (Bamako, Bamako) lynched two armed robbers to death by burning. They had earlier robbed a travel agency and opened fire, wounding several people. [size=no report]",2,1596481840,MLI
7173320,466,MLI4105,4105,2020-07-27,2020,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Islamic State (Greater Sahara),,2,22,Western Africa,Mali,Tombouctou,Gourma-Rharous,Gossi,NDaki,15.3584,-0.9241,2,Telegram; Undisclosed Source; Nashir; Nord Sud Journal; Twitter,Local partner-Other,"On 27 July 2020, JNIM and ISGS militants clashed near NDaki (Gourma-Rharous, Tombouctou). 14 ISGS militants including a commander were reportedly killed.",14,1596481840,MLI
7173321,466,MLI4106,4106,2020-07-27,2020,1,Battles,Armed clash,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,8,Unidentified Armed Group (Mali),,3,38,Western Africa,Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,2,FAMAMali; Undisclosed Source,Local partner-Other,"On 27 July 2020, MINUSMA forces opened fire against a vehicle that refused to comply at a checkpoint 20km east of Timbuktu (Tombouctou, Tombouctou) on the road to Ber. Two gunmen in the vehicle were wounded and arrested, and three weapons seized.",0,1596481840,MLI
7173740,466,MLI4101,4101,2020-07-26,2020,1,Battles,Armed clash,Fulani Ethnic Militia (Mali),Pastoralists (Mali),4,Dogon Ethnic Militia (Mali),Farmers (Mali),4,44,Western Africa,Mali,Mopti,Bandiagara,Timiniri,Kourou,14.0160,-3.9638,1,Undisclosed Source,Local partner-Other,"On 26 July 2020, suspected Fulani militiamen attacked the Dogon village of Kourou (Bandiagara, Mopti). Village self-defense responded to the attack. Three people were killed.",3,1596481842,MLI
7173318,466,MLI4100,4100,2020-07-26,2020,2,Riots,Violent demonstration,Rioters (Mali),,5,,,0,50,Western Africa,Mali,Kayes,Kita,Kita Commune,Kita,13.0500,-9.4833,1,Mali Jet; Djeliba24; Essor,National,"Around 26 July 2020 (between 26 - 27 July), a number of residents (primarily youths) barricaded the main road and prevented traffic access in Kita (Kita, Kayes) to demonstrate against high transport fees for travel to the capital of Bamako. [size=no report]",0,1596481840,MLI
7169037,466,MLI4088,4088,2020-07-25,2020,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Police Forces of Mali (2013-) Gendarmerie,,1,12,Western Africa,Mali,Koulikoro,Dioila,Massigui,Massigui,11.8597,-6.7689,1,PANAPRESS; Djeliba24; Mande Infos; Telegram; Mali Jet,New media-National,"On 25 July 2020, suspected JNIM militants attacked the gendarmerie in Massigui (Dioila, Koulikoro), killed one gendarme, wounded another, and vandalized the facility. Pro-JNIM accounts attributed the attack to the group.",1,1595875995,MLI
7173703,466,MLI4099,4099,2020-07-25,2020,1,Violence against civilians,Attack,Fulani Ethnic Militia (Mali),Pastoralists (Mali),4,Civilians (Mali),Dogon Ethnic Group (Mali); Farmers (Mali),7,47,Western Africa,Mali,Mopti,Koro,Youdiou,Tanouwa,14.3190,-3.2362,1,Studio Tamani,Subnational,"On 25 July 2020, suspected Fulani militiamen reportedly killed 5 Dogon farmers in the village of Tanouwa (Koro, Mopti).",5,1596481842,MLI
7173741,466,MLI4098,4098,2020-07-25,2020,2,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Islamic State (Greater Sahara),,2,22,Western Africa,Mali,Gao,Ansongo,Talataye,Talataye,16.5333,1.5167,2,Undisclosed Source,Local partner-Other,"Around 25 July 2020 (between 24 - 26 July 2020), JNIM and ISGS militants reportedly clashed in the area of Alotat [In Arhoulout] in Talataye (Talataye, Ansongo). Eight ISGS militants killed. Unconfirmed clashes were also reported around the same time in the nearby areas of Intigart and Towak Amene.",8,1596481842,MLI
7173751,466,MLI4097,4097,2020-07-25,2020,1,Violence against civilians,Abduction/forced disappearance,Islamic State (Greater Sahara),,2,Civilians (Mali),,7,27,Western Africa,Mali,Gao,Gao,N'tillit,Ntillit,15.5461,-0.4606,2,Undisclosed Source,Local partner-Other,"On 25 July 2020, presumed ISGS militants stormed the Tabatolte camp in the area of Ntillit (Gao, Gao), and abducted a resident.",0,1596481842,MLI
7173317,466,MLI4096,4096,2020-07-25,2020,1,Violence against civilians,Abduction/forced disappearance,Katiba Macina,JNIM: Group for Support of Islam and Muslims,2,Civilians (Mali),Labour Group (Mali),7,27,Western Africa,Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,2,Undisclosed Source; Reelle Afrique; Studio Tamani,Local partner-Other,"On 25 July 2020, presumed Katiba Macina (JNIM) militants held checkpoints and conducted identity checks between Boni and Hombori (Douentza, Mopti), abducting an agricultural engineer. The engineer was released the following day.",0,1596481840,MLI
7173750,466,MLI4095,4095,2020-07-24,2020,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mali),,3,Police Forces of Mali (2013-),,1,13,Western Africa,Mali,Gao,Menaka,Menaka,Menaka,15.9182,2.4022,1,Undisclosed Source,Local partner-Other,"On 24 July 2020, unknown gunmen broke into a guard post at the Menaka prefecture in Menaka (Menaka, Menaka), and stole three submachine guns.",0,1596481842,MLI
7173759,466,MLI4094,4094,2020-07-24,2020,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,2,Military Forces of Mali (2013-),,1,12,Western Africa,Mali,Mopti,Douentza,Mondoro,Boulikessi,14.7953,-1.3181,1,Undisclosed Source,Local partner-Other,"On 24 July 2020, presumed JNIM or ISGS militants attacked a national guard patrol in Boulikessi (Douentza, Mopti), the patrol responded to the attack and killed 5 militants.",5,1596481842,MLI
7169494,466,MLI4087,4087,2020-07-24,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of France (2017-),,8,,,0,80,Western Africa,Mali,Gao,Ansongo,Tessit,Tessit,15.2238,0.2925,2,Twitter,New media,"On 24 July 2020, presumed French Operation Barkhane forces conducted airstrikes near Kakou, reportedly close to Tessit (Ansongo, Gao). No casualties reported.",0,1595875997,MLI
7169032,466,MLI4081,4081,2020-07-23,2020,1,Protests,Peaceful protest,Protesters (Mali),URD: Union for the Republic and Democracy,6,,,0,60,Western Africa,Mali,Bamako,Bamako,Commune III,Bamako,12.6500,-8.0000,1,Infowakat; Nouvel Horizon,National-Regional,"On 23 July 2020, a hundred demonstrators including URD partisans and family members of Soumaila Cisse, head of the Malian opposition staged a demonstration in the capital of Bamako (Bamako, Bamako) to coincide with a CEDEAO-mission to mediate between the Malian government and the Movement of June 5. Cisse was abducted on March 25 while on election campaigning in Niafunke. [size=hundred]",0,1595875995,MLI
7169033,466,MLI4082,4082,2020-07-23,2020,1,Battles,Armed clash,Tourmouz Clan Militia (Mali),,4,Oulad Aich Clan Militia (Mali),MAA: Arab Movement of the Azawad (Platform),4,44,Western Africa,Mali,Tombouctou,Goundam,Tilemsi,Bou Guendouz,16.2873,-5.1187,2,Whatsapp; El Hadeth; Sawt Timbuktu,New media-Regional,"On 23 July 2020, Tourmouz militiamen attacked an Oulad Aich camp in the area of Bou Guendouz (Goundam, Tombouctou), nine people were reportedly killed in the clashes, including five militiamen [two Tourmouz, and three Oulad Aich members of MAA (Platform)] and four civilian bystanders.",9,1595875995,MLI
