data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7173773,562,NIR1401,1401,2020-08-01,2020,1,Violence against civilians,Attack,Islamic State (Greater Sahara),,2,Civilians (Niger),Tuareg Ethnic Group (Niger); Pastoralists (Niger),7,27,Western Africa,Niger,Tillaberi,Tillaberi,Ayorou,Tangouchmane,15.0744,1.1691,2,Whatsapp,New media,"On 1 August 2020, presumed ISGS militants attacked a Tuareg camp (Tinmanane) near Tangouchmane (Ayorou, Tillaberi), tied up men and seized livestock.",0,1596481842,NER
7173355,562,NIR1400,1400,2020-07-29,2020,1,Violence against civilians,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,N'Guigmi,NGuigmi,Klakamana,14.1937,13.0865,1,Jeunesse Diffa; Whatsapp,New media,"On 29 July 2020, presumed ISWAP or Boko Haram militants abducted a man in Klakamana (N'Guigmi, Diffa).",0,1596481840,NER
7173354,562,NIR1399,1399,2020-07-28,2020,1,Strategic developments,Looting/property destruction,Islamic State (West Africa),,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Diffa,Lada,13.3013,12.6460,1,Jeunesse Diffa; Whatsapp,New media,"On 28 July 2020, presumed ISWAP militants made an incursion in the village of Lada (Diffa, Diffa) and pillaged medical supplies at health facility.",0,1596481840,NER
7173353,562,NIR1398,1398,2020-07-26,2020,1,Battles,Armed clash,Islamic State (West Africa),,2,Police Forces of Niger (2011-),,1,12,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.3200,12.6100,1,Urgence Diffa; L'Evenement Niger; Al Nabaa; Air Info; Hoop; Actu (Niger),Other-New media,"On 26 July 2020, ISWAP militants attacked a police position in Diffa (Diffa, Diffa). One policeman was reportedly killed. ISWAP claimed responsibility and said that one of its fighters carried out the attack and killed three policemen and wounded others before rejoining base.",1,1596481840,NER
7169279,562,NIR1397,1397,2020-07-24,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Niger (2011-),,1,Civilians (Niger),Fishermen (Niger),7,17,Western Africa,Niger,Diffa,N'Guigmi,NGuigmi,Kouliriram Koura I,14.0939,13.3121,1,Facebook,New media,"On 24 July 2020, presumed Nigerien air force airstrikes targeted the island of Kouliriram Koura (N'Guigmi, Diffa), and reportedly killed and wounded severely an unspecified number of fishermen. Unknown fatalities coded as 3 due to lack of precisions.",3,1595875996,NER
7169577,562,NIR1396,1396,2020-07-23,2020,1,Battles,Armed clash,Military Forces of Niger (2011-) Gendarmerie,,1,Islamic State (Greater Sahara),,2,12,Western Africa,Niger,Tillaberi,Filingue,Filingue,Toulou Lani,14.3397,3.6002,2,Whatsapp,New media,"On 23 July 2020, gendarmes (Garsi) reportedly clashed with suspected ISGS militants in the forest of Talnawa, 40km east of Filingue, coded at approximate location as Toulou Lani (Filingue, Tillaberi). No casualties reported.",0,1595875998,NER
7169578,562,NIR1395,1395,2020-07-23,2020,1,Violence against civilians,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),Women (Niger),7,27,Western Africa,Niger,Diffa,Diffa,Gueskerou,NGouli,13.3616,12.6966,1,Whatsapp,New media,"On 23 July 2020, ISWAP or Boko Haram militants made an incursion into the village of NGouli (Gueskerou, Diffa) and abducted a girl.",0,1595875998,NER
7169085,562,NIR1394,1394,2020-07-23,2020,1,Strategic developments,Looting/property destruction,Islamic State (West Africa),,2,Civilians (Niger),Government of Niger (2011-),7,27,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.3200,12.6100,2,Nashir; Facebook; Whatsapp,New media,"On 23 July 2020, presumed ISWAP militants attacked the village [also an IDP site] of Assaga near Diffa (Diffa, Diffa). Guards monitoring a construction site for brick production reportedly fled upon the arrival of the militants who vandalized the refugee housing unit used by the guards as shelter, solar panels, the water pumping system and other infrastructure, and pillaged materiel in the village. ISWAP claimed responsibility and said it burned seven government buildings in the city of Diffa.",0,1595875996,NER
7169084,562,NIR1393,1393,2020-07-22,2020,1,Violence against civilians,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),Labour Group (Niger),7,27,Western Africa,Niger,Diffa,N'Guigmi,NGuigmi,NGuigmi,14.2495,13.1092,1,Urgence Diffa; Jeunesse Diffa; Facebook,New media,"On 22 July 2020, presumed ISWAP or Boko Haram militants abducted a merchant in the Kanembouri quarter of NGuigmi (N'Guigmi, Diffa).",0,1595875996,NER
7169478,562,NIR1392,1392,2020-07-18,2020,1,Protests,Peaceful protest,Protesters (Niger),,6,,,0,60,Western Africa,Niger,Diffa,N'Guigmi,NGuigmi,Agadem,16.8702,13.2648,1,Tadress24info,New media,"On 18 July 2020, a number of youths demonstrated and prevented truck access at a Chinese-run petroleum facility in Agadem (N'Guigmi, Diffa) in reaction to a decision by the company to ban water provision to parts of Agadem. [size=no report]",0,1595875997,NER
7163756,562,NIR1391,1391,2020-07-17,2020,1,Violence against civilians,Attack,Military Forces of Niger (2011-),,1,Civilians (Niger),,7,17,Western Africa,Niger,Diffa,N'Guigmi,NGuigmi,NGuigmi,14.2495,13.1092,1,Jeunesse Diffa,New media,"On 17 July 2020, Nigerien soldiers shot and wounded 5 minors in NGuigmi (N'Guigmi, Diffa).",0,1595270743,NER
7163757,562,NIR1390,1390,2020-07-17,2020,1,Battles,Armed clash,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Abdou Ngaram Communal Militia (Niger),,4,24,Western Africa,Niger,Diffa,N'Guigmi,NGuigmi,Abdou Ngaram,14.3066,13.1556,1,Jeunesse Diffa,New media,"On 17 July 2020, presumed ISWAP or Boko Haram militants attacked the village of Abdou Ngaram (N'Guigmi, Diffa), and were repelled by villagers. No casualties reported.",0,1595270743,NER
7164042,562,NIR1389,1389,2020-07-15,2020,1,Violence against civilians,Attack,Islamic State (West Africa),,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Diffa,Boulangouri,13.3658,12.6351,1,Urgence Diffa,New media,"On 15 July 2020, presumed ISWAP militants abducted 5 young men who reportedly failed to be recruited into the army in Boulangouri (Diffa, Diffa). 4 were executed while 1 escaped.",4,1595270744,NER
7164057,562,NIR1388,1388,2020-07-13,2020,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,2,Civilians (Niger),Labour Group (Niger),7,27,Western Africa,Niger,Tillaberi,Say,Torodi,Pamboudie,13.0979,1.0270,2,Whatsapp,New media,"On 13 July 2020, presumed JNIM or ISGS militants assassinated a civilian working as a guide for security forces at the mining site of CFA Seno, 80km west of Torodi, coded at approximate location as Pamboudie (Torodi, Tillaberi).",1,1595270744,NER
7164058,562,NIR1387,1387,2020-07-13,2020,1,Violence against civilians,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Gueskerou,Alla N'Glaro,13.4497,12.8035,1,Whatsapp,New media,"On 13 July 2020, presumed ISWAP or Boko Haram militants abducted 6 people in the village of Alla N'Glaro [Boula Kiassa] (Diffa, Diffa).",0,1595270744,NER
7163755,562,NIR1386,1386,2020-07-10,2020,2,Violence against civilians,Attack,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),Fishermen (Niger),7,27,Western Africa,Niger,Diffa,Diffa,Bosso,Kiri Kiri,13.7812,13.3813,2,Jeunesse Diffa,New media,"Around 10 July 2020 (as reported), presumed ISWAP or Boko Haram militants killed 4 fishermen near Kiri Kiri (Diffa, Diffa).",4,1595270743,NER
7157780,562,NIR1383,1383,2020-07-09,2020,1,Violence against civilians,Attack,Islamic State (Greater Sahara),,2,Civilians (Niger),Fulani Ethnic Group (Niger); Pastoralists (Niger); Djelgobe Communal Group (Niger),7,27,Western Africa,Niger,Tillaberi,Tillaberi,Ayorou,Ayorou,14.7326,0.9109,1,Whatsapp,New media,"On 9 July 2020, suspected ISGS militants attacked two Fulani Djelgobe tribal leaders in Ayorou (Ayorou, Tillaberi). One was killed and the other severely wounded.",1,1594671476,NER
7157282,562,NIR1385,1385,2020-07-09,2020,1,Violence against civilians,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),Women (Niger),7,27,Western Africa,Niger,Diffa,N'Guigmi,NGuigmi,Njibouloua,14.0397,13.0135,1,Jeunesse Diffa; Whatsapp,New media,"On 9 July 2020, presumed ISWAP or Boko Haram militants abducted between 5 and 9 people (a majority women and children), pillaged a campsite, and seized livestock in Njibouloua (N'Guigmi, Diffa).",0,1594671474,NER
7163426,562,NIR1384,1384,2020-07-09,2020,1,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),,7,27,Western Africa,Niger,Diffa,Diffa,Gueskerou,Kindjandi,13.7379,12.9311,1,Whatsapp; Jeunesse Diffa,New media,"On 9 July 2020, suspected Boko Haram (JAS) militants abducted 15 people, including 1 woman and 3 girls, in Kindjandi (Diffa, Diffa). 1 person was killed, 13 hostages released, and 2 kept in captivity.",1,1595270721,NER
7157280,562,NIR1382,1382,2020-07-08,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Niger),,3,Civilians (Niger),,7,37,Western Africa,Niger,Diffa,Diffa,Toumour,Toumour,13.6669,13.1198,1,Jeunesse Diffa; AFP; Urgence Diffa,New media-International,"On 8 July 2020, 1 person was killed and 10 others wounded by an explosive device in Toumour (Diffa, Diffa). The perpetrators were unknown.",1,1594671474,NER
7157279,562,NIR1381,1381,2020-07-07,2020,1,Violence against civilians,Attack,Islamic State (Greater Sahara),,2,Civilians (Niger),Health Workers (Niger),7,27,Western Africa,Niger,Tillaberi,Banibangou,Bani Bangou,Gosso,14.7348,2.6818,2,Whatsapp; Tadress24info,New media,"On 7 July 2020, suspected ISGS militants opened fire against an ambulance in the area of Gosso (Bani Bangou, Banibangou). The driver escaped with the vehicle unharmed.",0,1594671474,NER
7157525,562,NIR1380,1380,2020-07-04,2020,1,Violence against civilians,Attack,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Civilians (Niger),Fulani Ethnic Group (Niger); Pastoralists (Niger),7,27,Western Africa,Niger,Diffa,Diffa,Gueskerou,Ngaranna,13.8083,12.9454,1,Jeunesse Diffa,New media,"On 4 July 2020, presumed ISWAP or Boko Haram militants attacked a Fulani camp in Ngaranna (Diffa, Diffa). Outcome not reported.",0,1594671475,NER
