reference_year,adm2_name,conflicts,fatalities
2014.0,Abala,0,0
2014.0,Ansongo,5,9
2014.0,Ayerou,0,0
2014.0,Bandiagara,0,0
2014.0,Banibangou,1,2
2014.0,Bankass,0,0
2014.0,Bourem,10,14
2014.0,Dire,0,0
2014.0,Djenne,0,0
2014.0,Douentza,1,1
2014.0,Filingue,0,0
2014.0,Gao,20,82
2014.0,Gourma-Rharous,0,0
2014.0,Komonjdjari,0,0
2014.0,Koro,0,0
2014.0,Loroum,0,0
2014.0,Menaka,6,7
2014.0,Mopti,0,0
2014.0,Niafunke,1,0
2014.0,Ouallam,3,13
2014.0,Oudalan,0,0
2014.0,Say,0,0
2014.0,Seno,1,0
2014.0,Soum,3,0
2014.0,Tenenkou,0,0
2014.0,Tera,0,0
2014.0,Tillia,0,0
2014.0,Torodi,0,0
2014.0,Yagha,0,0
2014.0,Yatenga,1,3
2014.0,Youwarou,0,0
2015.0,Abala,0,0
2015.0,Ansongo,6,13
2015.0,Ayerou,0,0
2015.0,Bandiagara,0,0
2015.0,Banibangou,0,0
2015.0,Bankass,1,1
2015.0,Bourem,8,22
2015.0,Dire,2,4
2015.0,Djenne,1,1
2015.0,Douentza,6,21
2015.0,Filingue,0,0
2015.0,Gao,18,39
2015.0,Gourma-Rharous,7,32
2015.0,Komonjdjari,0,0
2015.0,Koro,1,4
2015.0,Loroum,0,0
2015.0,Menaka,12,27
2015.0,Mopti,6,19
2015.0,Niafunke,2,19
2015.0,Ouallam,0,0
2015.0,Oudalan,2,1
2015.0,Say,0,0
2015.0,Seno,1,0
2015.0,Soum,2,2
2015.0,Tenenkou,10,31
2015.0,Tera,0,0
2015.0,Tillia,0,0
2015.0,Torodi,0,0
2015.0,Yagha,0,0
2015.0,Yatenga,9,0
2015.0,Youwarou,1,1
2016.0,Abala,0,0
2016.0,Ansongo,2,2
2016.0,Ayerou,1,3
2016.0,Bandiagara,1,0
2016.0,Banibangou,1,7
2016.0,Bankass,0,0
2016.0,Bourem,1,2
2016.0,Dire,0,0
2016.0,Djenne,3,15
2016.0,Douentza,21,58
2016.0,Filingue,0,0
2016.0,Gao,13,17
2016.0,Gourma-Rharous,8,9
2016.0,Komonjdjari,0,0
2016.0,Koro,3,5
2016.0,Loroum,0,0
2016.0,Menaka,8,16
2016.0,Mopti,6,9
2016.0,Niafunke,2,5
2016.0,Ouallam,0,0
2016.0,Oudalan,4,13
2016.0,Say,0,0
2016.0,Seno,0,0
2016.0,Soum,13,19
2016.0,Tenenkou,6,27
2016.0,Tera,2,3
2016.0,Tillia,0,0
2016.0,Torodi,0,0
2016.0,Yagha,0,0
2016.0,Yatenga,2,0
2016.0,Youwarou,0,0
2017.0,Abala,1,8
2017.0,Ansongo,34,37
2017.0,Ayerou,5,26
2017.0,Bandiagara,5,12
2017.0,Banibangou,0,0
2017.0,Bankass,3,3
2017.0,Bourem,15,18
2017.0,Dire,2,7
2017.0,Djenne,24,20
2017.0,Douentza,50,90
2017.0,Filingue,0,0
2017.0,Gao,32,96
2017.0,Gourma-Rharous,14,31
2017.0,Komonjdjari,1,0
2017.0,Koro,18,95
2017.0,Loroum,4,3
2017.0,Menaka,41,131
2017.0,Mopti,11,22
2017.0,Niafunke,11,15
2017.0,Ouallam,2,24
2017.0,Oudalan,10,5
2017.0,Say,0,0
2017.0,Seno,1,1
2017.0,Soum,69,63
2017.0,Tenenkou,22,50
2017.0,Tera,7,12
2017.0,Tillia,0,0
2017.0,Torodi,0,0
2017.0,Yagha,0,0
2017.0,Yatenga,3,3
2017.0,Youwarou,3,0
2018.0,Abala,10,64
2018.0,Ansongo,56,86
2018.0,Ayerou,16,42
2018.0,Bandiagara,9,14
2018.0,Banibangou,2,0
2018.0,Bankass,22,67
2018.0,Bourem,15,28
2018.0,Dire,2,0
2018.0,Djenne,35,153
2018.0,Douentza,86,160
2018.0,Filingue,1,8
2018.0,Gao,48,71
2018.0,Gourma-Rharous,33,50
2018.0,Komonjdjari,15,6
2018.0,Koro,75,213
2018.0,Loroum,14,8
2018.0,Menaka,61,384
2018.0,Mopti,31,62
2018.0,Niafunke,13,21
2018.0,Ouallam,13,35
2018.0,Oudalan,26,10
2018.0,Say,2,3
2018.0,Seno,2,0
2018.0,Soum,91,164
2018.0,Tenenkou,40,139
2018.0,Tera,5,3
2018.0,Tillia,2,9
2018.0,Torodi,14,15
2018.0,Yagha,6,2
2018.0,Yatenga,9,0
2018.0,Youwarou,14,49
2019.0,Abala,7,11
2019.0,Ansongo,25,50
2019.0,Ayerou,15,33
2019.0,Bandiagara,40,157
2019.0,Banibangou,3,1
2019.0,Bankass,47,298
2019.0,Bourem,6,4
2019.0,Dire,5,4
2019.0,Djenne,7,12
2019.0,Douentza,66,163
2019.0,Filingue,1,0
2019.0,Gao,25,19
2019.0,Gourma-Rharous,11,28
2019.0,Komonjdjari,8,21
2019.0,Koro,59,176
2019.0,Loroum,13,82
2019.0,Menaka,22,119
2019.0,Mopti,19,53
2019.0,Niafunke,3,0
2019.0,Ouallam,11,38
2019.0,Oudalan,43,37
2019.0,Say,0,0
2019.0,Seno,11,6
2019.0,Soum,120,570
2019.0,Tenenkou,18,59
2019.0,Tera,10,2
2019.0,Tillia,1,0
2019.0,Torodi,16,11
2019.0,Yagha,13,5
2019.0,Yatenga,19,58
2019.0,Youwarou,2,0
