reference_year,adm0_name,adm1_name,adm2_name,population,phase35,p35_density,actual_price,decade_price,diff_price,fatalities,conflicts,severity,idps
2014,Mali,Gao,Ansongo,157184,56586,0.36,211.68,251.09,39.41,9,4,2.25,1888
2014,Mali,Gao,Bourem,138610,62374,0.45,211.68,251.09,39.41,13,8,1.62,1484
2014,Mali,Gao,Gao,285337,156935,0.55,211.68,251.09,39.41,82,14,5.86,1794
2014,Mali,Gao,Menaka,64869,25948,0.4,211.68,251.09,39.41,7,4,1.75,2079
2014,Mali,Mopti,Bandiagara,373461,224077,0.6,174.78,192.26,17.48,0,1,0.0,80
2014,Mali,Mopti,Bankass,315462,6309,0.02,174.78,192.26,17.48,0,1,0.0,37
2014,Mali,Mopti,Djenne,248309,12415,0.05,174.78,192.26,17.48,0,1,0.0,56
2014,Mali,Mopti,Douentza,293836,79336,0.27,174.78,192.26,17.48,1,1,1.0,89
2014,Mali,Mopti,Koro,431997,30240,0.07,174.78,192.26,17.48,0,1,0.0,262
2014,Mali,Mopti,Mopti,439524,13186,0.03,174.78,192.26,17.48,0,1,0.0,3804
2014,Mali,Mopti,Tenenkou,194113,13588,0.07,174.78,192.26,17.48,0,1,0.0,58
2014,Mali,Mopti,Youwarou,229298,16051,0.07,174.78,192.26,17.48,0,1,0.0,44
2014,Mali,Tombouctou,Dire,130659,20905,0.16,239.8,246.58,6.78,0,1,0.0,3658
2014,Mali,Tombouctou,Gourma-Rharous,132293,41011,0.31,239.8,246.58,6.78,0,1,0.0,626
2014,Mali,Tombouctou,Niafunke,209035,114969,0.55,239.8,246.58,6.78,0,1,0.0,1112
2015,Mali,Gao,Ansongo,161807,35598,0.22,204.82,251.09,46.27,13,6,2.17,1099
2015,Mali,Gao,Bourem,142686,38525,0.27,204.82,251.09,46.27,22,8,2.75,2206
2015,Mali,Gao,Gao,293730,20561,0.07,204.82,251.09,46.27,39,16,2.44,5899
2015,Mali,Gao,Menaka,66777,3339,0.05,204.82,251.09,46.27,27,11,2.45,2659
2015,Mali,Mopti,Bandiagara,384391,7688,0.02,164.75,192.26,27.51,0,1,0.0,42
2015,Mali,Mopti,Bankass,324694,3247,0.01,164.75,192.26,27.51,1,1,1.0,15
2015,Mali,Mopti,Djenne,255577,5112,0.02,164.75,192.26,27.51,1,1,1.0,29
2015,Mali,Mopti,Douentza,302436,30244,0.1,164.75,192.26,27.51,21,6,3.5,84
2015,Mali,Mopti,Koro,444640,8893,0.02,164.75,192.26,27.51,4,1,4.0,96
2015,Mali,Mopti,Mopti,452388,4524,0.01,164.75,192.26,27.51,19,3,6.33,2558
2015,Mali,Mopti,Tenenkou,199793,5994,0.03,164.75,192.26,27.51,31,10,3.1,106
