reference_year,adm0_name,adm1_name,adm2_name,projected_idps,diff_last_year
2014,Mali,Gao,Ansongo,1888,0
2014,Mali,Gao,Bourem,1484,0
2014,Mali,Gao,Gao,1794,0
2014,Mali,Gao,Menaka,2079,0
2014,Mali,Mopti,Bandiagara,80,0
2014,Mali,Mopti,Bankass,37,0
2014,Mali,Mopti,Djenne,56,0
2014,Mali,Mopti,Douentza,89,0
2014,Mali,Mopti,Koro,262,0
2014,Mali,Mopti,Mopti,3804,0
2014,Mali,Mopti,Tenenkou,58,0
2014,Mali,Mopti,Youwarou,44,0
2014,Mali,Tombouctou,Dire,3658,0
2014,Mali,Tombouctou,Gourma-Rharous,626,0
2014,Mali,Tombouctou,Niafunke,1112,0
2015,Mali,Gao,Ansongo,1099,-789
2015,Mali,Gao,Bourem,2206,722
2015,Mali,Gao,Gao,5899,4105
2015,Mali,Gao,Menaka,2659,580
2015,Mali,Mopti,Bandiagara,42,-38
2015,Mali,Mopti,Bankass,15,-22
2015,Mali,Mopti,Djenne,29,-27
2015,Mali,Mopti,Douentza,84,-5
2015,Mali,Mopti,Koro,96,-166
2015,Mali,Mopti,Mopti,2558,-1246
2015,Mali,Mopti,Tenenkou,106,48
2015,Mali,Mopti,Youwarou,116,72
2015,Mali,Tombouctou,Dire,3268,-390
2015,Mali,Tombouctou,Gourma-Rharous,2597,1971
2015,Mali,Tombouctou,Niafunke,3683,2571
2016,Mali,Gao,Ansongo,349,-750
2016,Mali,Gao,Bourem,3679,1473
2016,Mali,Gao,Gao,6823,924
2016,Mali,Gao,Menaka,2064,-595
2016,Mali,Mopti,Bandiagara,42,0
2016,Mali,Mopti,Bankass,6,-9
2016,Mali,Mopti,Djenne,28,-1
2016,Mali,Mopti,Douentza,80,-4
2016,Mali,Mopti,Koro,93,-3
2016,Mali,Mopti,Mopti,1035,-1523
2016,Mali,Mopti,Tenenkou,71,-35
2016,Mali,Mopti,Youwarou,67,-49
2016,Mali,Tombouctou,Dire,1595,-1673
2016,Mali,Tombouctou,Gourma-Rharous,436,-2161
2016,Mali,Tombouctou,Niafunke,1878,-1805
2017,Mali,Gao,Ansongo,1019,670
2017,Mali,Gao,Bourem,3851,172
2017,Mali,Gao,Gao,3108,-3715
2017,Mali,Gao,Menaka,7291,5227
2017,Mali,Mopti,Bandiagara,32,-10
2017,Mali,Mopti,Bankass,0,-6
2017,Mali,Mopti,Djenne,14,-14
2017,Mali,Mopti,Douentza,68,-12
2017,Mali,Mopti,Koro,381,288
2017,Mali,Mopti,Mopti,894,-141
2017,Mali,Mopti,Tenenkou,719,648
2017,Mali,Mopti,Youwarou,43,-24
2017,Mali,Tombouctou,Dire,273,-1322
2017,Mali,Tombouctou,Gourma-Rharous,3467,3031
2017,Mali,Tombouctou,Niafunke,0,-1878
2018,Mali,Gao,Ansongo,1019,0
2018,Mali,Gao,Bourem,6405,2554
2018,Mali,Gao,Gao,10971,7863
2018,Mali,Gao,Menaka,12543,5252
2018,Mali,Mopti,Bandiagara,4835,4803
2018,Mali,Mopti,Bankass,20014,20014
2018,Mali,Mopti,Djenne,6467,6453
2018,Mali,Mopti,Douentza,1242,1174
2018,Mali,Mopti,Koro,17733,17352
2018,Mali,Mopti,Mopti,1558,664
2018,Mali,Mopti,Tenenkou,4603,3884
2018,Mali,Mopti,Youwarou,43,0
2018,Mali,Tombouctou,Dire,531,258
2018,Mali,Tombouctou,Gourma-Rharous,4424,957
2018,Mali,Tombouctou,Niafunke,1031,1031
2019,Mali,Gao,Ansongo,13325,12306
2019,Mali,Gao,Bourem,10573,4168
2019,Mali,Gao,Gao,34142,23171
2019,Mali,Gao,Menaka,17758,5215
2019,Mali,Mopti,Bandiagara,14967,10132
2019,Mali,Mopti,Bankass,12506,-7508
2019,Mali,Mopti,Djenne,5866,-601
2019,Mali,Mopti,Douentza,6592,5350
2019,Mali,Mopti,Koro,12510,-5223
2019,Mali,Mopti,Mopti,19792,18234
2019,Mali,Mopti,Tenenkou,3193,-1410
2019,Mali,Mopti,Youwarou,102,59
2019,Mali,Tombouctou,Dire,258,-273
2019,Mali,Tombouctou,Gourma-Rharous,6110,1686
2019,Mali,Tombouctou,Niafunke,2574,1543
2020,Mali,Gao,Ansongo,43275,29950
2020,Mali,Gao,Bourem,34422,23849
2020,Mali,Gao,Gao,110202,76060
2020,Mali,Gao,Menaka,62973,45215
2020,Mali,Mopti,Bandiagara,48570,33603
2020,Mali,Mopti,Bankass,63867,51361
2020,Mali,Mopti,Djenne,17598,11732
2020,Mali,Mopti,Douentza,20304,13712
2020,Mali,Mopti,Koro,68361,55851
2020,Mali,Mopti,Mopti,73944,54152
2020,Mali,Mopti,Tenenkou,10389,7196
2020,Mali,Mopti,Youwarou,4410,4308
2020,Mali,Tombouctou,Dire,774,516
2020,Mali,Tombouctou,Gourma-Rharous,32265,26155
2020,Mali,Tombouctou,Niafunke,9669,7095
